>MN767666,GENOTYPE=B18
>MN767641,GENOTYPE=B4
>MN767621,GENOTYPE=B4
>MN767679,GENOTYPE=B4
>MN767101,GENOTYPE=B20
>AB054647,GENOTYPE=B20
>OL548865,GENOTYPE=B15
>MN767100,GENOTYPE=B15
>MN767242,GENOTYPE=B7
>MN767446,GENOTYPE=B25
>MN767452,GENOTYPE=B6
>MN767097,GENOTYPE=B6
>AB054648,GENOTYPE=B17
>MN767447,GENOTYPE=B5
>OL548867,GENOTYPE=B3
>OL548868,GENOTYPE=B3
>MN767445,GENOTYPE=B21
>MN767455,GENOTYPE=B22
>MN767576,GENOTYPE=B23
>MN767281,GENOTYPE=B24
>MN767560,GENOTYPE=B9
>MN767530,GENOTYPE=B2
>AF435014,GENOTYPE=B1
>MN767470,GENOTYPE=B1
>MN116509,GENOTYPE=B1
>MN767535,GENOTYPE=B8
>AF261761,GENOTYPE=B8
>MN767493,GENOTYPE=B10
>MN767538,GENOTYPE=B11
>MN767536,GENOTYPE=B12
>MN765199,GENOTYPE=B14
>MN767098,GENOTYPE=B16
>MN767652,GENOTYPE=B13
>MN767105,GENOTYPE=B19
>MN767158,GENOTYPE=C3
>KT163880,GENOTYPE=C1
>MH649039,GENOTYPE=C1
>MW455420,GENOTYPE=C1
>MN767691,GENOTYPE=C1
>MN766467,GENOTYPE=C1
>MN767157,GENOTYPE=C1
>MN767172,GENOTYPE=C1
>KP343840,GENOTYPE=C1
>MT783404,GENOTYPE=C1
>AF345526,GENOTYPE=C2
>MW455389,GENOTYPE=C2
>MN767185,GENOTYPE=C4
>KT163886,GENOTYPE=C4
>MN768044,GENOTYPE=C4
>MN766452,GENOTYPE=C5
>AY823989,GENOTYPE=C6
>MN766611,GENOTYPE=D24
>MN766503,GENOTYPE=D24
>MN766493,GENOTYPE=D18
>AB025946,GENOTYPE=D18
>AB038619,GENOTYPE=D18
>MN766502,GENOTYPE=D20
>MN766499,GENOTYPE=D16
>MN766546,GENOTYPE=D22
>MN765256,GENOTYPE=D22
>MN765674,GENOTYPE=D11
>MN765707,GENOTYPE=D11
>MH649178,GENOTYPE=D11
>MN765952,GENOTYPE=D11
>MN765702,GENOTYPE=D23
>MN765246,GENOTYPE=D21
>MN766420,GENOTYPE=D21
>OL548869,GENOTYPE=D3
>MN766384,GENOTYPE=D3
>MN766411,GENOTYPE=D6
>MN766511,GENOTYPE=D15
>MN766604,GENOTYPE=D15
>FR848323,GENOTYPE=D15
>MN766648,GENOTYPE=D12
>MN766651,GENOTYPE=D7
>MH649042,GENOTYPE=D9
>MN766656,GENOTYPE=D9
>MN766388,GENOTYPE=D4
>MN766406,GENOTYPE=D4
>MN766647,GENOTYPE=D2
>MN765285,GENOTYPE=D2
>MN766659,GENOTYPE=D13
>MN766649,GENOTYPE=D13
>MN766665,GENOTYPE=D13
>KP343846,GENOTYPE=D13
>MN766730,GENOTYPE=D13
>MW455435,GENOTYPE=D13
>MN766653,GENOTYPE=D14
>MN765731,GENOTYPE=D14
>MW455392,GENOTYPE=D14
>MN766497,GENOTYPE=D19
>MN765266,GENOTYPE=D1
>AB060594,GENOTYPE=D1
>MN766485,GENOTYPE=D1
>HM224451,GENOTYPE=D1
>OL548871,GENOTYPE=D5
>MN766991,GENOTYPE=D8
>MN766533,GENOTYPE=D17
>MN766494,GENOTYPE=D17
>MN765732,GENOTYPE=D10
>FR751487,GENOTYPE=E10
>KT163905,GENOTYPE=E10
>AX174942,GENOTYPE=E10
>MN765858,GENOTYPE=E10
>MN765859,GENOTYPE=E10
>MN765584,GENOTYPE=E16
>AF371370,GENOTYPE=E16
>MN765787,GENOTYPE=E6
>MN765783,GENOTYPE=E6
>MN765782,GENOTYPE=E6
>AF348409,GENOTYPE=E6
>OL548863,GENOTYPE=E4
>OL548866,GENOTYPE=E9
>MN765552,GENOTYPE=E9
>MN767152,GENOTYPE=E9
>MN765788,GENOTYPE=E9
>MN765575,GENOTYPE=E9
>MN765593,GENOTYPE=E9
>MH649169,GENOTYPE=E9
>MN765543,GENOTYPE=E9
>MN767701,GENOTYPE=E15
>MN765544,GENOTYPE=E15
>MN765781,GENOTYPE=E7
>MN765848,GENOTYPE=E7
>MN768061,GENOTYPE=E8
>KT163906,GENOTYPE=E2
>MN766130,GENOTYPE=E1
>MN766134,GENOTYPE=E1
>MH648925,GENOTYPE=E11
>FJ392116,GENOTYPE=E11
>KT163887,GENOTYPE=E11
>MW455351,GENOTYPE=E11
>MW455455,GENOTYPE=E11
>MN765902,GENOTYPE=E12
>KT163916,GENOTYPE=E12
>MN765880,GENOTYPE=E12
>MN765936,GENOTYPE=E12
>MN765624,GENOTYPE=E13
>MN765554,GENOTYPE=E13
>MN768022,GENOTYPE=E13
>MN765669,GENOTYPE=E13
>MH648969,GENOTYPE=E13
>FJ426280,GENOTYPE=E13
>MN765556,GENOTYPE=E13
>AB060597,GENOTYPE=E13
>MH649142,GENOTYPE=E13
>MW679003,GENOTYPE=E13
>MN768074,GENOTYPE=E5
>AB060592,GENOTYPE=E3
>MN768086,GENOTYPE=E3
>MN765776,GENOTYPE=E3
>MN765560,GENOTYPE=E14
>MN765591,GENOTYPE=E14
>MN768160,GENOTYPE=E14
>MN766106,GENOTYPE=F12
>MN766107,GENOTYPE=F12
>MN766122,GENOTYPE=F12
>MN766157,GENOTYPE=F2
>KP343842,GENOTYPE=F2
>MN766199,GENOTYPE=F2
>KF545591,GENOTYPE=F2
>MN767291,GENOTYPE=F13
>MN766758,GENOTYPE=F8
>MN767562,GENOTYPE=F5
>MH648959,GENOTYPE=F5
>MN766153,GENOTYPE=F1
>AX025838,GENOTYPE=F1
>MN766158,GENOTYPE=F1
>MN766279,GENOTYPE=F1
>MN766156,GENOTYPE=F1
>OL548870,GENOTYPE=F9
>MN766757,GENOTYPE=F9
>MN766806,GENOTYPE=F9
>MN766762,GENOTYPE=F9
>MN767289,GENOTYPE=F9
>MN766760,GENOTYPE=F6
>MN766756,GENOTYPE=F7
>MN766948,GENOTYPE=F14
>MN766151,GENOTYPE=F4
>MN766150,GENOTYPE=F4
>KP343838,GENOTYPE=F4
>AY449524,GENOTYPE=F10
>AB060593,GENOTYPE=F10
>MN766883,GENOTYPE=F15
>MN766884,GENOTYPE=F15
>MN766915,GENOTYPE=F15
>MK452766,GENOTYPE=F15
>OL548873,GENOTYPE=F3
>MN766154,GENOTYPE=F3
>AY183662,GENOTYPE=F3
>MN766160,GENOTYPE=F3
>AB028668,GENOTYPE=F11
>MN765857,GENOTYPE=F11
>MN768250,GENOTYPE=G4
>MN768261,GENOTYPE=G4
>MN768237,GENOTYPE=G3
>MN768264,GENOTYPE=G3
>MN768239,GENOTYPE=G3
>MN768553,GENOTYPE=G2
>MN768534,GENOTYPE=G6
>MN768191,GENOTYPE=G5
>MN768244,GENOTYPE=G9
>MN768180,GENOTYPE=G9
>MN768287,GENOTYPE=G1
>MN768171,GENOTYPE=G1
>MN768297,GENOTYPE=G1
>MN768174,GENOTYPE=G7
>MN768176,GENOTYPE=G7
>MN768184,GENOTYPE=G8
>MN768208,GENOTYPE=G10
>MN768560,GENOTYPE=G11
>MN768182,GENOTYPE=G11
>MN768177,GENOTYPE=G11
>MN768428,GENOTYPE=G12
>MN768299,GENOTYPE=G12
>MN768321,GENOTYPE=G14
>MN768286,GENOTYPE=G15
>AB064597,GENOTYPE=G15
>MN768387,GENOTYPE=G13
>MN768357,GENOTYPE=G16
>MN768467,GENOTYPE=G16
>MN768361,GENOTYPE=G16
>MN768437,GENOTYPE=G16
>MN768324,GENOTYPE=G16
>MN768430,GENOTYPE=G16
>MN768285,GENOTYPE=G16
>AB064603,GENOTYPE=G16
